row ID,row m/z,row retention time,X072067ALC.dataCompass.mzXML Peak area,X072069ALC.dataCompass.mzXML Peak area,X072068ALC.dataCompass.mzXML Peak area,
151,393.2271270751953,9.89585,0,807178.5364999981,0,
152,331.26087951660156,13.399566666666667,0,986338.8265000061,0,
153,372.24359130859375,11.657966666666665,0,989367.0580000004,0,
154,296.29469299316406,16.880383333333334,0,942689.8590000081,1290777.5340000018,
155,279.23207092285156,15.434650000000001,0,903016.3084999903,1327640.953000006,
156,301.2157745361328,16.07405,0,1020599.3695000013,0,
157,383.21954345703125,11.8653,0,803081.8175000082,0,
158,435.3257751464844,13.66915,0,925329.9710000069,0,
159,622.0288848876953,0.6300000000000001,0,945585.7960000001,757619.5635,
160,409.3464660644531,13.4825,0,884557.8164999984,0,
161,345.24017333984375,14.91325,0,1046917.8139999956,0,
162,651.3656616210938,12.839666666666666,0,675057.0400000067,0,
163,290.26929473876953,9.981625,0,801553.1119999975,1551444.4500000065,
164,339.1932067871094,12.902016666666666,0,933012.3829999977,0,
165,455.28997802734375,17.940083333333334,0,683515.5415000032,0,
166,477.2458038330078,11.1189,0,592378.5975000059,0,
167,453.24847412109375,12.28,0,846792.4499999948,0,
168,277.2161865234375,12.259266666666667,0,826969.0744999952,0,
169,453.336181640625,10.935375,0,658232.2749999998,1702223.593500005,
